Algeria	DZD 3,850.00	No VAT
Australia	AUD 39.99	10%
Austria	EUR 29.99	20%
Bahrain	USD 31.99	10%
Bangladesh	BDT 4,100.00	15%
Belgium	EUR 29.99	21%
Bermuda	USD 28.99	No VAT
Bolivia	BOB 334.99	No VAT
Brazil	BRL 149.99	No VAT
British Virgin Islands	USD 28.99	No VAT
Bulgaria	EUR 29.99	20%
Cambodia	USD 28.99	No VAT
Cameroon	XAF 19,500	19.25%
Canada	CAD 39.99	No VAT
Cayman Islands	USD 28.99	No VAT
Chile	CLP 31,500	19%
Colombia	COP 91,000	No VAT
Costa Rica	CRC 13,000.00	No VAT
Croatia	EUR 30.99	25%
Cyprus	EUR 29.99	19%
Czechia	CZK 749.99	21%
Côte d'Ivoire	XOF 19,300	18%
Denmark	DKK 235.00	25% (2 location overrides)
Ecuador	USD 28.99	No VAT
Egypt	EGP 1,649.99	14%
El Salvador	USD 28.99	No VAT
Estonia	EUR 30.99	24%
Finland	EUR 30.99	25.5% (1 location override)
France	EUR 29.99	20% (11 location overrides)
Georgia	GEL 89.00	18%
Germany	EUR 24.99	19%
Ghana	GHS 380.00	20%
Gibraltar	GBP 21.49	No VAT
Greece	EUR 30.99	24%
Hong Kong	HKD 228.00	No VAT
Hungary	HUF 11,499	27%
India	INR 3,250.00	18%
Indonesia	IDR 499,000	No VAT
Iraq	IQD 37,950	No VAT
Ireland	EUR 30.99	23%
Israel	ILS 85.00	No VAT
Italy	EUR 29.99	22%
Japan	JPY 5,100	10%
Jordan	JOD 20.500	No VAT
Kazakhstan	KZT 14,990.00	16%
Kenya	KES 4,300.00	16%
Kuwait	USD 28.99	No VAT
Latvia	EUR 29.99	21%
Liechtenstein	CHF 25.00	8.1%
Lithuania	EUR 29.99	21%
Luxembourg	EUR 28.99	17%
Macao	MOP 238.00	No VAT
Malaysia	MYR 124.99	8%
Mexico	MXN 569.00	16%
Micronesia	USD 28.99	No VAT
Monaco	EUR 29.99	20%
Mongolia	MNT 104,000.00	No VAT
Morocco	MAD 324.99	20%
Myanmar (Burma)	MMK 61,000	No VAT
Netherlands	EUR 29.99	21%
New Zealand	NZD 54.99	15%
Nigeria	NGN 42,000.00	7.5%
Norway	NOK 339.00	25% (1 location override)
Oman	USD 29.99	5%
Pakistan	PKR 8,000	No VAT
Panama	USD 28.99	No VAT
Paraguay	PYG 175,000	No VAT
Peru	PEN 96.99	No VAT
Philippines	PHP 2,000.00	12%
Poland	PLN 129.99	23%
Portugal	EUR 30.99	23%
Qatar	QAR 105.00	No VAT
Romania	RON 159.99	21%
Russia	RUB 2,490.00	No VAT
San Marino	EUR 24.99	No VAT
Saudi Arabia	SAR 124.99	15%
Senegal	XOF 19,300	18%
Serbia	RSD 3,499	20%
Singapore	SGD 39.99	9%
Slovakia	EUR 30.99	23%
Slovenia	EUR 29.99	22%
South Africa	ZAR 539.99	15%
South Korea	KRW 45,000	10%
Spain	EUR 29.99	21% (4 location overrides)
Sri Lanka	LKR 9,625.00	No VAT
Sweden	SEK 345.00	25%
Switzerland	CHF 23.00	No VAT
Taiwan	TWD 970.00	5%
Tanzania	TZS 77,000.00	No VAT
Thailand	THB 1,025.00	7%
Turks & Caicos Islands	USD 28.99	No VAT
Türkiye	TRY 1,659.99	20%
Ukraine	UAH 1,549.99	20%
United Arab Emirates	AED 109.99	5%
United Kingdom	GBP 25.49	20%
United States	USD 28.99	No VAT (7 location overrides)
Vatican City	EUR 24.99	No VAT
Vietnam	VND 759,000	No VAT
