Algeria	DZD 775.00	No VAT
Australia	AUD 6.49	10%
Austria	EUR 5.99	20%
Bahrain	USD 6.49	10%
Bangladesh	BDT 800.00	15%
Belgium	EUR 5.99	21%
Bermuda	USD 5.99	No VAT
Bolivia	BOB 66.99	No VAT
Brazil	BRL 29.99	No VAT
British Virgin Islands	USD 5.99	No VAT
Bulgaria	EUR 5.99	20%
Cambodia	USD 5.99	No VAT
Cameroon	XAF 3,900	19.25%
Canada	CAD 7.99	No VAT
Cayman Islands	USD 5.99	No VAT
Chile	CLP 6,400	19%
Colombia	COP 18,000	No VAT
Costa Rica	CRC 2,600.00	No VAT
Croatia	EUR 5.99	25%
Cyprus	EUR 5.99	19%
Czechia	CZK 149.99	21%
Côte d'Ivoire	XOF 3,900	18%
Denmark	DKK 47.00	25% (2 location overrides)
Ecuador	USD 5.99	No VAT
Egypt	EGP 339.99	14%
El Salvador	USD 5.99	No VAT
Estonia	EUR 5.99	24%
Finland	EUR 6.49	25.5% (1 location override)
France	EUR 5.99	20% (11 location overrides)
Georgia	GEL 19.00	18%
Germany	EUR 5.99	19%
Ghana	GHS 80.00	20%
Gibraltar	GBP 4.29	No VAT
Greece	EUR 5.99	24%
Hong Kong	HKD 44.90	No VAT
Hungary	HUF 2,299	27%
India	INR 650.00	18%
Indonesia	IDR 99,000	No VAT
Iraq	IQD 7,650	No VAT
Ireland	EUR 5.99	23%
Israel	ILS 17.00	No VAT
Italy	EUR 5.99	22%
Japan	JPY 1,020	10%
Jordan	JOD 4.150	No VAT
Kazakhstan	KZT 3,090.00	16%
Kenya	KES 900.00	16%
Kuwait	USD 5.99	No VAT
Latvia	EUR 5.99	21%
Liechtenstein	CHF 5.00	8.1%
Lithuania	EUR 5.99	21%
Luxembourg	EUR 5.99	17%
Macao	MOP 46.99	No VAT
Malaysia	MYR 24.99	8%
Mexico	MXN 115.00	16%
Micronesia	USD 5.99	No VAT
Monaco	EUR 5.99	20%
Mongolia	MNT 21,000.00	No VAT
Morocco	MAD 64.99	20%
Myanmar (Burma)	MMK 12,000	No VAT
Netherlands	EUR 5.99	21%
New Zealand	NZD 10.99	15%
Nigeria	NGN 8,460.00	7.5%
Norway	NOK 69.00	25% (1 location override)
Oman	USD 5.99	5%
Pakistan	PKR 1,600	No VAT
Panama	USD 5.99	No VAT
Paraguay	PYG 40,000	No VAT
Peru	PEN 19.99	No VAT
Philippines	PHP 405.00	12%
Poland	PLN 25.99	23%
Portugal	EUR 5.99	23%
Qatar	QAR 21.00	No VAT
Romania	RON 31.99	21%
Russia	RUB 489.00	No VAT
San Marino	EUR 4.99	No VAT
Saudi Arabia	SAR 24.99	15%
Senegal	XOF 3,900	18%
Serbia	RSD 699	20%
Singapore	SGD 7.99	9%
Slovakia	EUR 5.99	23%
Slovenia	EUR 5.99	22%
South Africa	ZAR 109.99	15%
South Korea	KRW 8,900	10%
Spain	EUR 5.99	21% (4 location overrides)
Sri Lanka	LKR 1,925.00	No VAT
Sweden	SEK 69.00	25%
Switzerland	CHF 4.60	No VAT
Taiwan	TWD 200.00	5%
Tanzania	TZS 15,000.00	No VAT
Thailand	THB 200.00	7%
Turks & Caicos Islands	USD 5.99	No VAT
Türkiye	TRY 334.99	20%
Ukraine	UAH 314.99	20%
United Arab Emirates	AED 22.99	5%
United Kingdom	GBP 4.99	20%
United States	USD 5.99	No VAT (7 location overrides)
Vatican City	EUR 4.99	No VAT
Vietnam	VND 152,000	No VAT
